,time,HR
0,1,101.4088623821926
1,2,100.72826599036581
2,3,102.79802488057884
3,4,104.2257752261424
4,5,105.69374389129929
5,6,106.44334491180497
6,7,106.51201803755454
7,8,106.96855878472509
8,9,108.75733067075728
9,10,109.43706398744948
10,11,110.47274598102159
11,12,111.17416024121859
12,13,112.36318869299629
13,14,113.0888928180318
14,15,113.35733861453551
15,16,114.86105841248346
16,17,116.04519303529257
17,18,116.76746602098936
18,19,117.25399712941021
19,20,117.86789240233905
20,21,118.86360849443905
21,22,118.98925712921121
22,23,120.00409087871402
23,24,120.13216354774151
24,25,120.51802702808754
25,26,120.51802702808754
26,27,121.15851973815947
27,28,121.69063485863114
28,29,121.95431987457609
29,30,122.88628520112853
30,31,123.42526013622127
31,32,123.9689837491562
32,33,124.10566399584758
33,34,124.51751907547985
34,35,124.65541223060225
35,36,124.51751907547985
36,37,124.79361113551428
37,38,125.07093027137087
38,39,125.59423960305008
39,40,125.85753989571911
40,41,125.72575189582832
41,42,125.72575189582832
42,43,125.46300215309934
43,44,124.94078362176494
44,45,124.681301205105
45,46,124.51751907547991
46,47,124.65541223060218
47,48,124.51751907547967
48,49,125.20134834256098
49,50,125.85753989571906
50,51,126.52064600686617
51,52,128.14097445092435
52,53,128.41507279199533
53,54,129.38372097038385
54,55,130.17586620081454
55,56,130.84343474543434
56,57,131.36552851259952
57,58,130.50879680490857
58,59,130.7931296955512
59,60,130.79312969555133
